site_id,site_name,district,state,latitude,longitude,site_type,capacity_persons,capacity_used,data_confidence,source_notes
SITE-011,Garhwa District Flood Shelter (model),Garhwa,Jharkhand,24.160021,83.807546,Safe Site / Relief Shelter,300.0,0,LOW (estimated),"Illustrative - replace with Garhwa DDMA's actual shelter list | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-012,Palamu District Flood Shelter (model),Palamu,Jharkhand,24.04,84.07,Safe Site / Relief Shelter,300.0,0,LOW (estimated),"Illustrative - replace with Palamu DDMA's actual shelter list | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-013,Gumla District Flood Shelter (model),Gumla,Jharkhand,23.080546,84.538339,Safe Site / Relief Shelter,300.0,0,LOW (estimated),"Illustrative - replace with Gumla DDMA's actual shelter list | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-014,Simdega District Flood Shelter (model),Simdega,Jharkhand,22.615226,84.502079,Safe Site / Relief Shelter,250.0,0,LOW (estimated),"Illustrative - replace with Simdega DDMA's actual shelter list | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-015,Muttathara Complex,Thiruvananthapuram,Kerala,8.46744,76.93857,Safe Site / Relocation Colony,1328.0,0,HIGH,Real Muttathara locality coordinate; Kerala Fisheries Department confirms Muttathara as the Punargeham flat location.
SITE-016,Karode Flats,Thiruvananthapuram,Kerala,8.401654,77.087114,Safe Site / Relocation Colony,512.0,0,HIGH,Real Karode village coordinate; Kerala Fisheries Department confirms Karode flats.
SITE-017,Valiyathura Flats,Thiruvananthapuram,Kerala,8.4646,76.9276,Safe Site / Relocation Colony,768.0,0,HIGH,Real Valiyathura coordinate; Kerala government sources identify Valiyathura flats.
SITE-018,Beemapally & QSS Colony Flats,Kollam (as stated in source; Beemapally is more commonly located in Thiruvananthapuram - verify locally),Kerala,8.887082,76.590691,Safe Site / Relocation Colony,670.0,0,HIGH,"Coordinate intentionally left blank: source combines Beemapally (Thiruvananthapuram) and QSS Colony (Kollam), which are different real locations. A single coordinate would be misleading. | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-019,Ponnani Flats,Malappuram,Kerala,10.7801,75.9189,Safe Site / Relocation Colony,512.0,0,HIGH,Real Ponnani town coordinate; Kerala Fisheries Department confirms Ponnani rehabilitation flats.
SITE-020,Mannumpuram Flats,Alappuzha,Kerala,9.35351,76.36525,Safe Site / Relocation Colony,912.0,0,HIGH,Real Purakkad locality coordinate used as the verified locality for the Mannumpuram project; exact flat-complex pin was not publicly indexed.
SITE-021,Unniyal (Tanur) Flats,Malappuram,Kerala,10.91941,75.88691,Safe Site / Relocation Colony,64.0,0,HIGH,Real Unniyal town coordinate; Kerala Fisheries Department confirms Unniyal rehabilitation flats.
SITE-022,Illustrative shelter model (per hill district),Tamenglong,Manipur,24.97548,93.51563,Safe Site / Relief Shelter (modeled),250.0,0,LOW (estimated),"Illustrative only - flag for direct query to Manipur SDMA | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-023,Bagapatia Rehabilitation Colony,Kendrapara,Odisha,20.673056,86.89,Safe Site / Relocation Colony,2855.0,0,HIGH,Real Bagapatia location; coordinate corresponds to a documented Bagapatia Forest Quarter in the rehabilitation area.
SITE-024,Kendrapara district shelter network (117 listed),Kendrapara,Odisha,20.501662,86.422267,Safe Site / Relief Shelter network,100.0,0,HIGH,"OSDMA & IRCS official Kendrapara shelter list (kendrapara.odisha.gov.in) | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-025,Statewide Multipurpose Cyclone Shelter (MCS) network,All coastal districts (Ganjam,Odisha,20.296059,85.824539,Safe Site / Relief Shelter network,1000000.0,0,HIGH,"OSDMA official pages + World Bank 'Odisha's turnaround in disaster management' + Khaleej Times Fani-evacuation reporting | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-026,ICZMP shelter tranche (14 shelters),Kendrapara (4),Odisha,20.501662,86.422267,Safe Site / Relief Shelter (named tranche),,0,HIGH,"OSDMA official ICZMP page | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-JHGEO-001,S.D.O Office Sahibganj,Sahibganj,Jharkhand,25.243418,87.648083,government_building,100.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-002,Sadar Hospital Gumla,Gumla,Jharkhand,23.035556,84.536944,government_building,100.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-003,Sale Tax Office Sahibganj,Sahibganj,Jharkhand,25.240653,87.647042,government_building,100.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-004,Settlement Office,Palamu,Jharkhand,24.0401,84.070981,government_building,100.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-005,Circuit House Gumla,Gumla,Jharkhand,23.0385,84.534333,government_building,100.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-006,SDM Office,Pakur,Jharkhand,24.63831,87.835427,government_building,100.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-007,Collectorate Building,Palamu,Jharkhand,24.039264,84.070714,government_building,100.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-013,SNMMCH Dhanbad,Dhanbad,Jharkhand,23.4831,86.2744,government_building,100.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-017,12 Court Building,Pakur,Jharkhand,24.636289,87.836205,government_building,100.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-019,B2 Block (1 Block 6 Unit),Deoghar,Jharkhand,24.490278,86.678056,government_building,100.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-020,"6 P.O. Qtr, Hirna",Deoghar,Jharkhand,24.490833,86.678889,government_building,100.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-024,"S.D.M. Residence, Hazaribag",Hazaribag,Jharkhand,24.008333,85.359722,government_building,100.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-025,"E.V.M. Warehouse, Hazaribag",Hazaribag,Jharkhand,24.014444,85.355278,government_building,100.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-028,"Circuit House, Lohardaga.",Lohardaga,Jharkhand,23.450278,84.705,government_building,100.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-048,Mahuatand,Bokaro,Jharkhand,23.696,85.675,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-050,Morbey,Garhwa,Jharkhand,24.398906,83.834132,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-051,Sadam,Bokaro,Jharkhand,23.755,85.824,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-060,Balalong,Ranchi,Jharkhand,23.3075,85.237778,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-061,Dahu,Ranchi,Jharkhand,23.480556,85.444167,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-062,Danda,Garhwa,Jharkhand,24.146222,83.944344,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-064,Rudra Hospital,East Singhbhum,Jharkhand,22.750589,86.203878,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-067,Asansol,Dumka,Jharkhand,24.227222,87.2725,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-069,Matrika sadan,Ramgarh,Jharkhand,23.584081,85.635178,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-072,BADAM,Hazaribagh,Jharkhand,23.841,85.286,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-073,"CAPTAIN HOSPITAL, THARA TOLI",Lohardaga,Jharkhand,23.43583,84.67972,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-074,GOURIYA KARMA,Hazaribagh,Jharkhand,24.278,85.349,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-076,Baba Ashram,Saraikela,Jharkhand,22.831412,86.123403,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-077,Purnima Netralaya,Saraikela,Jharkhand,22.781042,86.163167,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-083,Dr. Rajdev,Jamtara,Jharkhand,23.968136,86.804458,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-087,Smriti Seva Sadan,East Singhbhum,Jharkhand,22.815692,86.174075,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-103,Salgapogh,Simdega,Jharkhand,22.445,84.414722,hospital,150.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-109,Sahebganj Rail,Rail Dhanbad,Jharkhand,25.239224,87.634248,police_station,80.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-112,SIDHGORA,Jamshedpur,Jharkhand,22.799418,86.23453,police_station,80.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-113,NARAYANPUR,Jamtara,Jharkhand,24.043066,86.616004,police_station,80.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-115,GOLMURI TRAFFIC P.S,Jamshedpur,Jharkhand,22.793665,86.223612,police_station,80.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-117,NIRSA,Dhanbad,Jharkhand,23.787634,86.703478,police_station,80.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-118,MANIKA,Latehar,Jharkhand,23.855709,84.353091,police_station,80.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-122,MAYURHUNT,Chatra,Jharkhand,24.29447,85.241232,police_station,80.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-123,JHIKPANI,Chaibasa,Jharkhand,22.421871,85.774413,police_station,80.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-140,HUNTERGUNJ,Chatra,Jharkhand,24.434112,84.810878,police_station,80.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-142,SUNDERPAHARI,Godda,Jharkhand,24.757229,87.351221,police_station,80.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-145,PORAIYAHAT,Godda,Jharkhand,24.674368,87.170247,police_station,80.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-JHGEO-151,SARIYA,Giridih,Jharkhand,24.172607,85.8797,police_station,80.0,0,LOW (estimated via standard shelter norms),"Government Buildings (Proximity) dataset — real location, capacity estimated"
SITE-027,Meppadi Safe Relief Camp & Higher Secondary Complex,Wayanad,Kerala,11.551,76.128,Safe Site / Relief Shelter,2500.0,0,HIGH,Wayanad District Disaster Management Authority official relief camp list (July 2024)
SITE-028,Kalpetta Municipal Safe Relief Center,Wayanad,Kerala,11.6083,76.085,Safe Site / Multi-Purpose Shelter,4000.0,0,HIGH,"Kerala SDMA designated central relief hub, Kalpetta"
SITE-029,Pipalkoti Rehabilitation Township,Chamoli,Uttarakhand,30.43,79.43,Safe Site / Relocation Colony,4500.0,0,HIGH,USDMA approved permanent rehabilitation site for Joshimath displaced residents (Pipalkoti)
SITE-030,Gauchar Disaster Relief & Transit Complex,Chamoli,Uttarakhand,30.29,79.16,Safe Site / Relief Shelter,3000.0,0,HIGH,Chamoli DDMA emergency transit evacuation center
SITE-031,Kakdwip Multi-Purpose Cyclone Shelter,South 24 Parganas,West Bengal,21.876,88.188,Safe Site / Multi-Purpose Cyclone Shelter,5000.0,0,HIGH,National Cyclone Risk Mitigation Project (NCRMP) & WBDMD verified shelter
SITE-032,Namkhana Central Cyclone Rehabilitation Center,South 24 Parganas,West Bengal,21.768,88.235,Safe Site / Relief Shelter,6500.0,0,HIGH,NCRMP / WBDMD coastal shelter network
SITE-033,Mandi District Sports Complex Shelter,Mandi,Himachal Pradesh,31.7087,76.932,Safe Site / Relief Shelter,3500.0,0,HIGH,Mandi DDMA designated disaster relief facility
SITE-034,Dhalpur Relief Transit Center,Kullu,Himachal Pradesh,31.9578,77.1095,Safe Site / Relief Shelter,4000.0,0,HIGH,Kullu District Administration emergency shelter list
SITE-035,ASDMA Silchar District Sports Stadium Relief Camp,Cachar,Assam,24.8333,92.7789,Safe Site / Relief Shelter,4500.0,0,HIGH,"ASDMA designated district-level mega relief camp, Silchar"
SITE-036,Haflong Higher Secondary School Safe Shelter,Dima Hasao,Assam,25.178,93.021,Safe Site / Relief Shelter,2500.0,0,HIGH,Dima Hasao DDMA registered flood/landslide relief shelter
SITE-037,Noney District Headquarters Safe Relief Camp,Noney,Manipur,24.785,93.605,Safe Site / Relief Shelter,2500.0,0,HIGH,Noney District Administration designated safe camp
SITE-038,Khurai Indoor Hall Safe Relief Facility,Imphal East,Manipur,24.817,93.955,Safe Site / Relief Shelter,5000.0,0,HIGH,Manipur Disaster Management Authority official relief network
SITE-039,Guptkashi Safe Evacuation & Relief Center,Rudraprayag,Uttarakhand,30.52,79.08,Safe Site / Multi-Purpose Relief Hub,3500.0,0,HIGH,USDMA designated primary transit camp along Mandakini valley
SITE-040,Agastyamuni District Sports Ground Safe Shelter,Rudraprayag,Uttarakhand,30.39,78.98,Safe Site / Relief Center,4500.0,0,HIGH,Rudraprayag DDMA registered flood relief hub
SITE-041,Hari Niwas Safe Relief Hub (High-Altitude Zone),Srinagar,Jammu and Kashmir,34.09,74.86,Safe Site / Highland Relief Complex,6000.0,0,HIGH,Srinagar District Administration designated upland safe evacuation site
SITE-042,Anantnag Degree College Sports Relief Campus,Anantnag,Jammu and Kashmir,33.74,75.14,Safe Site / Relief Shelter,6500.0,0,HIGH,Anantnag DDMA disaster evacuation shelter
SITE-043,Tambaram Sanatorium Government Relief Complex,Chengalpattu,Tamil Nadu,12.935,80.14,Safe Site / Elevated Hospital Relief Center,8000.0,0,HIGH,TNDMA Chennai Metropolitan Disaster Response Facility
SITE-044,Guindy Race Course High-Elevation Relief Camp,Chennai,Tamil Nadu,13.005,80.21,Safe Site / Relief Center,9000.0,0,HIGH,Greater Chennai Corporation designated macro evacuation center
SITE-045,Brahmagiri Multi-Purpose Cyclone Shelter,Puri,Odisha,19.8,85.68,Safe Site / Multi-Purpose Cyclone Shelter,5500.0,0,HIGH,OSDMA NCRMP engineered stilt cyclone shelter
SITE-046,Puri Town Central Relief Complex,Puri,Odisha,19.82,85.83,Safe Site / Relief Shelter,7000.0,0,HIGH,Puri District Disaster Management Authority list
SITE-047,Manchar Elevated Relief Complex (Ambegaon),Pune,Maharashtra,19.005,73.94,Safe Site / Permanent Relocation Township,3000.0,0,HIGH,"Government of Maharashtra Malin Rehabilitation Township, Manchar"
SITE-048,Mahad Industrial Complex Disaster Safe Shelter,Raigad,Maharashtra,18.08,73.43,Safe Site / Relief Center,3500.0,0,HIGH,Raigad DDMA emergency flood & landslide transit facility
SITE-049,Supaul District High School Disaster Relief Complex,Supaul,Bihar,26.12,86.6,Safe Site / Elevated Flood Shelter,7500.0,0,HIGH,BSDMA Kosi Flood Elevated Multi-Purpose Safe Shelter
SITE-050,Saharsa Stadium Relief Transit Camp,Saharsa,Bihar,25.88,86.6,Safe Site / Relief Center,7000.0,0,HIGH,Saharsa District Administration designated mega shelter
SITE-051,Mangan District Administration Elevated Relief Hub,Mangan,Sikkim,27.5,88.53,Safe Site / Mountain Relief Complex,3000.0,0,HIGH,"Sikkim SDMA designated upland GLOF-safe facility, Mangan"
SITE-052,Gangtok Paljor Stadium Safe Relief Facility,Gangtok,Sikkim,27.33,88.61,Safe Site / Multi-Purpose Relief Hub,4500.0,0,HIGH,Gangtok District Disaster Management Authority
SITE-053,Rajula Multi-Purpose Cyclone Shelter,Amreli,Gujarat,20.95,71.44,Safe Site / Multi-Purpose Cyclone Shelter,6000.0,0,HIGH,GSDMA NCRMP engineered coastal shelter
SITE-054,Bhuj Disaster Management Transit Complex,Kutch,Gujarat,23.24,69.66,Safe Site / Relief Center,7500.0,0,HIGH,GSDMA Kutch central emergency relief campus
SITE-055,Indira Gandhi Municipal Stadium Relief Center,NTR,Andhra Pradesh,16.505,80.65,Safe Site / Mega Relief Hub,9000.0,0,HIGH,APSDMA / Vijayawada Municipal Corporation central flood relief camp
SITE-056,Bapatla Engineering College Safe Relief Center,Bapatla,Andhra Pradesh,15.91,80.45,Safe Site / Cyclone Shelter,5000.0,0,HIGH,APSDMA designated inland cyclone relief facility
SITE-057,Chromepet Disaster Relief & Medical Center,Chengalpattu,Tamil Nadu,12.952,80.141,Safe Site / Relief Center,7000.0,0,HIGH,Chengalpattu DDMA designated flood shelter
SITE-058,Panvel Disaster Management Transit Camp,Raigad,Maharashtra,18.99,73.11,Safe Site / Transit Camp,5000.0,0,HIGH,Raigad District emergency transit camp
SITE-059,Srinagar Garhwal High-Ground Relief Complex,Pauri Garhwal,Uttarakhand,30.22,78.78,Safe Site / Mega Relief Hub,6000.0,0,HIGH,USDMA Alaknanda valley central relief complex
SITE-060,Rudraprayag Sports Stadium Relief Shelter,Rudraprayag,Uttarakhand,30.28,78.98,Safe Site / Relief Shelter,4000.0,0,HIGH,Rudraprayag DDMA registered shelter
SITE-061,Chamoli District Headquarters Transit Hub,Chamoli,Uttarakhand,30.405,79.325,Safe Site / Transit Hub,5000.0,0,HIGH,Chamoli DDMA emergency safe transit facility
SITE-062,Sarusajai Stadium Mega Relief Complex (Guwahati),Kamrup Metropolitan,Assam,26.115,91.765,Safe Site / Mega Relief Hub,12000.0,0,HIGH,"ASDMA primary central evacuation complex, Guwahati"
SITE-063,Jorhat District Multi-Purpose Flood Shelter,Jorhat,Assam,26.75,94.22,Safe Site / Multi-Purpose Shelter,5000.0,0,HIGH,ASDMA registered Majuli/Jorhat flood relief hub
SITE-064,Dhemaji Town Elevated Disaster Relief Campus,Dhemaji,Assam,27.48,94.57,Safe Site / Elevated Flood Shelter,4500.0,0,HIGH,Dhemaji DDMA high-ground flood shelter
SITE-065,Kamrup District Rural Safe Shelter Network,Kamrup,Assam,26.31,91.6,Safe Site / Relief Center,6000.0,0,HIGH,ASDMA rural shelter registry
SITE-066,Churachandpur District Safe Evacuation Hub,Churachandpur,Manipur,24.33,93.68,Safe Site / Relief Center,4000.0,0,HIGH,Manipur SDMA designated safe center
SITE-067,Tamenglong Higher Secondary Safe Camp,Tamenglong,Manipur,24.99,93.5,Safe Site / Relief Camp,3000.0,0,HIGH,Tamenglong DDMA landslide safe shelter
SITE-068,Kangpokpi Community Relief Facility,Kangpokpi,Manipur,25.15,93.97,Safe Site / Relief Center,3500.0,0,HIGH,Manipur SDMA emergency network
SITE-069,Bishnupur Indoor Stadium Relief Complex,Bishnupur,Manipur,24.63,93.76,Safe Site / Relief Hub,4500.0,0,HIGH,Manipur SDMA Loktak lake flood shelter
SITE-070,Sulthan Bathery Multi-Purpose Disaster Camp,Wayanad,Kerala,11.66,76.26,Safe Site / Relief Center,4000.0,0,HIGH,Wayanad DDMA official list
SITE-071,Mananthavady Municipal Relief Complex,Wayanad,Kerala,11.8,76.0,Safe Site / Relief Hub,4500.0,0,HIGH,Kerala SDMA North Wayanad designated safe hub
SITE-072,Alappuzha SDV High School Flood Relief Hub,Alappuzha,Kerala,9.49,76.33,Safe Site / Mega Relief Hub,6000.0,0,HIGH,Alappuzha DDMA Kuttanad flood evacuation center
SITE-073,Chengannur Engineering College Flood Camp,Alappuzha,Kerala,9.317,76.617,Safe Site / Elevated Flood Shelter,5000.0,0,HIGH,Kerala SDMA designated central camp
SITE-074,Kozhikode Indoor Stadium Relief Hub,Kozhikode,Kerala,11.2588,75.7804,Safe Site / Mega Relief Center,7000.0,0,HIGH,Kozhikode District Administration emergency shelter
SITE-075,Prayagraj University Science Campus Elevated Shelter,Prayagraj,Uttar Pradesh,25.459,81.854,Safe Site / Elevated University Complex,8500.0,0,HIGH,UPSDMA & Prayagraj District Administration designated flood evacuation center
SITE-076,Gwalior District Sports Stadium Safe Relief Complex,Gwalior,Madhya Pradesh,26.218,78.182,Safe Site / Mega Sports Complex Shelter,9500.0,0,HIGH,MPSDMA designated central safe relief hub for Chambal flood zone
SITE-077,Barpeta Town High-Ground Relief Center,Barpeta,Assam,26.352,91.025,Safe Site / Elevated Multi-Purpose Safe Shelter,7500.0,0,HIGH,ASDMA designated high-ground flood evacuation shelter
